Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,results
165,mostly-true,Facebook posts,"U.S. imports 1% of its oil from Russia while ""Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.""",3/7/2022,social_media,Andy Nguyen,3/10/2022,https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/yes-oil-companies-are-reporting-record-breaking-pr/,FALSE
166,half-true,Crystal Peoples-Stokes,"""Cities in notoriously ‘tough on crime’ states like Texas and Florida saw a more significant increase in violent crime than cities in NYS.""",3/29/2022,news,Jill Terreri Ramos,4/16/2022,https://www.politifact.com/factchecks/2022/apr/16/crystal-peoples-stokes/claim-about-crime-other-states-context-needed/,TRUE
167,half-true,Cavalier Johnson,"The RNC is ""a $200 million economic infusion into our communities.""",5/27/2022,news,Vanessa Swales,7/8/2022,https://www.politifact.com/factchecks/2022/jul/08/cavalier-johnson/mayor-johnson-overestimates-economic-benefit-hosti/,TRUE
169,half-true,Joe Biden,"""For four years, I was a full professor at the University of Pennsylvania.""",4/14/2022,speech,Louis Jacobson,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/joe-biden/fact-checking-joe-biden-being-full-professor-four-/,FALSE
171,mostly-false,Rebecca Kleefisch,"Gov. Tony Evers gave $2.4 million in COVID relief money to Planned Parenthood affiliates throughout Wisconsin ""to bail them out and fund abortions.""",3/9/2022,campaign,Madeline Heim,3/25/2022,https://www.politifact.com/factchecks/2022/mar/25/rebecca-kleefisch/yes-evers-gave-covid-relief-money-planned-parentho/,FALSE
172,mostly-true,Patrick Gaspard,"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD.""",2/13/2022,television,Louis Jacobson,2/16/2022,https://www.politifact.com/factchecks/2022/feb/16/patrick-gaspard/us-economic-growth-exceeds-rivals-and-has-contribu/,FALSE
175,true,Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",2/3/2022,social_media,D.L. Davis,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/,TRUE
184,false,Facebook posts,"President Joe Biden was confused, ""turned around and shook hands with thin air"" after a speech.",4/14/2022,social_media,Gabrielle Settles,4/19/2022,https://www.politifact.com/factchecks/2022/apr/19/facebook-posts/biden-was-gesturing-towards-his-audience-not-shaki/,TRUE
187,mostly-false,Rebecca Kleefisch,"""As your Lieutenant Governor…I cut your taxes.""",3/28/2022,advertisement,Laura Schulte,4/13/2022,https://www.politifact.com/factchecks/2022/apr/13/rebecca-kleefisch/kleefisch-didnt-have-power-cut-taxes-her-own-lieut/,FALSE
189,mostly-false,Nikki Fried,"""Charlie Crist is pro-life.""",6/28/2022,campaign,Yacob Reyes,7/5/2022,https://www.politifact.com/factchecks/2022/jul/05/nikki-fried/nikki-frieds-ad-misleads-crists-position-abortion-/,FALSE
192,false,Facebook posts,"""News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.""",2/21/2022,social_media,Madison Czopek,2/24/2022,https://www.politifact.com/factchecks/2022/feb/24/facebook-posts/no-news-report-didnt-reveal-doctors-gave-queen-eli/,FALSE
196,mostly-true,Steve Kerr,"""90% of Americans, regardless of political party, want universal background checks.""",5/24/2022,news,Amy Sherman,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/steve-kerr/polls-consistently-show-high-support-gun-backgroun/,FALSE
197,mostly-false,Facebook posts,"""Finland joins NATO.""",5/15/2022,social_media,Ciara O'Rourke,5/16/2022,https://www.politifact.com/factchecks/2022/may/16/facebook-posts/finlands-nato-membership-not-final/,FALSE
198,mostly-true,House Republican Conference,"""Bennie Thompson objected to the 2004 Presidential election.""",6/9/2022,social_media,Louis Jacobson,6/10/2022,https://www.politifact.com/factchecks/2022/jun/10/house-republicans/fact-checking-whether-bennie-thompson-objected-200/,TRUE
199,mostly-false,Facebook posts,"""If you earn $100 and pay $33 income tax you’re left with $67. You then buy $67 worth of fuel and in doing so pay a 48% fuel tax (fuel tax = $32.16 + $6.70 GST). This means that the government just got $71.86 tax from your hard earned $100.""",4/9/2022,social_media,Sara Swann,5/6/2022,https://www.politifact.com/factchecks/2022/may/06/facebook-posts/claim-exaggerates-fuel-tax-rates-australia-and-can/,TRUE
200,mostly-true,Claudia Tenney,"In 2021, ""11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.""",4/1/2022,news,Elizabeth Egan,4/27/2022,https://www.politifact.com/factchecks/2022/apr/27/claudia-tenney/can-fentanyl-seized-border-kill-every-american-sev/,FALSE
202,false,Instagram posts,"""Finnish Court rules sex with children is permitted.""",4/18/2022,social_media,Samantha Putterman,4/26/2022,https://www.politifact.com/factchecks/2022/apr/26/instagram-posts/viral-claim-distorts-finnish-law-child-sex-abuse/,FALSE
203,mostly-true,Chuck Grassley,"""During the first 3 months of FY2022 Customs& Border Protection recorded 518k encounters w illegal immigrants at S border That’s up 137% from same point in FY2021.""",2/5/2022,social_media,Lauren White,3/3/2022,https://www.politifact.com/factchecks/2022/mar/03/chuck-grassley/border-encounters-partially-due-covid-19-expulsion/,TRUE
205,half-true,Tim Ryan,"""J.D. Vance profits off Russia propaganda.""",5/10/2022,advertisement,Jon Greenberg,5/24/2022,https://www.politifact.com/factchecks/2022/may/24/tim-ryan/does-jd-vance-profit-russia-propaganda/,FALSE
206,mostly-false,Bloggers,"""Japan drops all vaxxine mandates, places myocarditis warning on label.""",1/6/2022,news,Monique Curet,1/12/2022,https://www.politifact.com/factchecks/2022/jan/12/blog-posting/headline-about-japan-dropping-vaccine-mandates-mis/,FALSE
207,mostly-true,Kathy Barnette,"Joe Biden ""inherited inflation of 1.7%. Now we're well over 8% and growing.""",5/12/2022,news,Louis Jacobson,5/13/2022,https://www.politifact.com/factchecks/2022/may/13/kathy-barnette/kathy-barnette-largely-correct-course-inflation-un/,FALSE
208,true,Kelda Helen Roys,"Due to U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",5/8/2022,news,D.L. Davis,5/11/2022,https://www.politifact.com/factchecks/2022/may/11/kelda-helen-roys/yes-democrats-do-need-more-majority-codify-roe-vs-/,FALSE
209,true,Iowa Senate Democrats,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, ""failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.""",1/5/2022,statement,Nina Baker,1/11/2022,https://www.politifact.com/factchecks/2022/jan/11/iowa-senate-democrats/iowa-broadband-touted-republicans-was-funded-democ/,FALSE
213,mostly-true,Raphael Warnock,"""While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.""",4/5/2022,statement,Louis Jacobson,4/20/2022,https://www.politifact.com/factchecks/2022/apr/20/raphael-warnock/fact-checking-warnocks-statement-drop-oil-prices-d/,FALSE
214,mostly-true,Melanie D'Arrigo,"""Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.""",2/6/2022,social_media,Jill Terreri Ramos,2/18/2022,https://www.politifact.com/factchecks/2022/feb/18/melanie-darrigo/tax-code-offers-write-offs-some-private-plane-purc/,FALSE
216,mostly-false,Facebook posts,"""Biden and most Democrats want to cap insulin prices at $35 per month. All 50 Republicans in the Senate are opposed to it.""",2/7/2022,social_media,Jeff Cercone,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/facebook-posts/republicans-opposed-build-back-better-whole-not-ne/,FALSE
217,mostly-false,Ron DeSantis,"the Biden administration’s Unaccompanied Alien Children process has ""no vetting, no transparency.""",2/7/2022,news,Yacob Reyes,2/18/2022,https://www.politifact.com/factchecks/2022/feb/18/ron-desantis/fact-checking-ron-desantis-claim-us-process-smuggl/,FALSE
221,mostly-false,Greg Abbott,"""We need to realize that people who think that ‘well, maybe if we could just implement tougher gun laws, it’s going to solve it,’ Chicago and LA and New York disprove that thesis.""",5/25/2022,news,Analisa Trofimuk,6/3/2022,https://www.politifact.com/factchecks/2022/jun/03/greg-abbott/texas-gov-greg-abbott-claims-chicagos-tougher-gun-/,FALSE
222,mostly-true,Glenn Youngkin,"""Sixty percent of (Virginia's) children don’t meet national proficiency standards…""",1/17/2022,speech,Warren Fiske,2/2/2022,https://www.politifact.com/factchecks/2022/feb/02/glenn-youngkin/are-60-virginia-students-testing-below-us-proficie/,FALSE
223,mostly-true,Charles Schumer,"""The leading cause of death among children is a firearm.""",5/25/2022,speech,Jill Terreri Ramos,6/4/2022,https://www.politifact.com/factchecks/2022/jun/04/charles-schumer/among-children-firearms-leading-cause-death-2020/,TRUE
234,mostly-true,Christine Drazan,"""Governor Kate Brown wants to make Oregon’s mask mandate PERMANENT.""",1/5/2022,social_media,Gabrielle Settles,2/7/2022,https://www.politifact.com/factchecks/2022/feb/07/christine-drazan/bringing-more-context-light-about-permanent-mandat/,TRUE
237,false,Tweets,Gilbert Gottfried died from the COVID-19 vaccine.,4/12/2022,social_media,Ciara O'Rourke,4/13/2022,https://www.politifact.com/factchecks/2022/apr/13/tweets/gilbert-gottfried-didnt-die-covid-19-vaccine/,FALSE
238,mostly-false,Democratic Party of Wisconsin,"Republican politicians are pushing a plan ""that could raise taxes on almost one in three Wisconsinites and sunset Social Security and Medicare in five years.""",5/2/2022,news,D.L. Davis,6/15/2022,https://www.politifact.com/factchecks/2022/jun/15/state-democratic-party-wisconsin/democrats-still-exaggerating-gop-backing-scotts-pl/,TRUE
239,mostly-false,Ron Klain,"The economy was ""dead in the water when we got here. Virtually no jobs created.""",4/3/2022,news,Louis Jacobson,4/4/2022,https://www.politifact.com/factchecks/2022/apr/04/ron-klain/ron-klain-exaggerates-turnaround-jobs-joe-bidens-w/,TRUE
242,half-true,Dan Sullivan,"In cutting greenhouse gas emissions, the United States is ""the leader in the world by far.""",3/23/2022,testimony,Jon Greenberg,4/6/2022,https://www.politifact.com/factchecks/2022/apr/06/dan-sullivan/does-us-lead-cutting-greenhouse-gases-it-depends-h/,FALSE
243,mostly-true,Sarah Godlewski,"""Here in Wisconsin, prescription drug costs grew at a pace of nearly twice as much as the average Wisconsinite's income from 2015-2019.""",2/18/2022,campaign,D.L. Davis,3/8/2022,https://www.politifact.com/factchecks/2022/mar/08/sarah-godlewski/claim-prescription-drug-costs-have-grown-nearly-tw/,TRUE
244,true,Levar Stoney,"""In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.""",6/16/2022,social_media,Warren Fiske,6/24/2022,https://www.politifact.com/factchecks/2022/jun/24/levar-stoney/virginia-blacks-eight-times-more-likely-whites-be-/,FALSE
246,mostly-false,Richard Irvin,"""In my first year in office, Aurora homicides went down by 40%.""",2/20/2022,social_media,Analisa Trofimuk,3/6/2022,https://www.politifact.com/factchecks/2022/mar/06/richard-irvin/aurora-mayor-richard-irvin-says-he-reduced-homicid/,FALSE
248,mostly-true,USA Freedom Fund,"""Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.""",5/11/2022,advertisement,Jon Greenberg,5/13/2022,https://www.politifact.com/factchecks/2022/may/13/usa-freedom-fund/pennsylvania-us-senate-candidate-kathy-barnette-wa/,FALSE
251,mostly-true,Greg Abbott,"""As compared to last year, Texas has about 15% more power generation capacity.""",2/3/2022,news,Nusaiba Mizan,4/4/2022,https://www.politifact.com/factchecks/2022/apr/04/greg-abbott/abbott-referred-installed-capacity-grid-not-power-/,FALSE
253,mostly-false,Joe Biden,"""This country’s working people actually got a raise.""",1/19/2022,news,Jon Greenberg,1/20/2022,https://www.politifact.com/factchecks/2022/jan/20/joe-biden/bidens-boast-about-rising-wages-ignores-effect-inf/,FALSE
254,half-true,Harry Wilson,"Lee Zeldin ""voted for Cuomo’s Billion Dollar Tax hike and every Cuomo budget.""",5/6/2022,campaign,Jill Terreri Ramos,5/27/2022,https://www.politifact.com/factchecks/2022/may/27/harry-wilson/wilsons-claim-zeldin-budget-votes-not-fully-accura/,FALSE
257,mostly-false,Facebook posts,The IRS is taking money away from people who received unemployment benefits.,2/20/2022,social_media,Jill Terreri Ramos,3/3/2022,https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/misleading-post-links-unemployment-benefits-and-re/,FALSE
262,mostly-true,Wisconsin Senate Republicans,"Gov. Tony Evers has ""only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.""",2/2/2022,social_media,Madeline Heim,2/25/2022,https://www.politifact.com/factchecks/2022/feb/25/wisconsin-senate-republicans/senate-republicans-mostly-right-amount-arpa-cares-/,FALSE
263,half-true,Ted Cruz,"In 2013, under a Democratic Senate, ""a majority of the Senate voted in favor of"" gun-related legislation sponsored by Republican Sens. Chuck Grassley and Ted Cruz, ""but the Democrats filibustered it.""",5/26/2022,news,Louis Jacobson,5/27/2022,https://www.politifact.com/factchecks/2022/may/27/ted-cruz/ted-cruz-spins-partisan-blame-failure-gun-legislat/,FALSE
264,false,Facebook posts,"George Soros injected ""$33 million"" into Black Lives Matter.",4/9/2022,social_media,Yacob Reyes,4/18/2022,https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/soros-alleged-support-black-lives-matter-resurges-/,FALSE
267,mostly-true,Bobby Scott,"""Public schools are now as segregated by race and class as they were in the 1960s.""",5/18/2022,testimony,Warren Fiske,6/8/2022,https://www.politifact.com/factchecks/2022/jun/08/bobby-scott/are-american-schools-more-segregated-today-1960s/,FALSE
268,half-true,Greg Casar,"""Greg Casar passed paid sick leave.""",2/8/2022,advertisement,Tom Kertscher,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/greg-casar/texas-us-house-candidate-led-passage-austin-paid-s/,FALSE
270,true,Cavalier Johnson,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.""",4/9/2022,news,Vanessa Swales,5/24/2022,https://www.politifact.com/factchecks/2022/may/24/cavalier-johnson/milwaukees-high-gun-rate-rivals-new-yorks/,FALSE
271,mostly-true,JB Pritzker,"""A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state.""",2/2/2022,speech,Analisa Trofimuk,2/11/2022,https://www.politifact.com/factchecks/2022/feb/11/jb-pritzker/does-illinois-have-larger-percentage-vaccinations-/,FALSE
272,mostly-true,Mike Gallagher,"""Inflation has gone up every month of the Biden presidency and just hit another 40-year high.""",4/12/2022,news,Laura Schulte,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/mike-gallagher/yes-inflation-40-year-high-and-rates-have-been-cli/,TRUE
273,half-true,Facebook posts,"The United Nations sent out an email instructing staff not to use the words ""invasion"" or ""war’"" when referring to Ukraine.",3/17/2022,social_media,Samantha Putterman,3/28/2022,https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/,FALSE
274,true,Jennifer McClellan,"""More than half of Virginia’s school buildings are older than 50 years.""",2/15/2022,news,Warren Fiske,2/18/2022,https://www.politifact.com/factchecks/2022/feb/18/jennifer-mcclellan/yes-most-virginia-schools-are-over-50-years-old/,TRUE
277,mostly-false,Facebook posts,"""NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.""",3/1/2022,social_media,Madison Czopek,3/3/2022,https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/fema-added-covid-19-safety-measures-nuclear-explos/,FALSE
278,mostly-true,Beto O'Rourke,"""Under Greg Abbott, property taxes have gone up $20 billion.""",4/23/2022,social_media,Nusaiba Mizan,5/19/2022,https://www.politifact.com/factchecks/2022/may/19/beto-orourke/orourke-right-about-estimated-property-tax-revenue/,FALSE
283,mostly-true,Facebook posts,"""Florida Highway Patrol has a semi-truck … The FHP uses a fleet of three such ‘hidden in plain sight’ trucks to snitch on bad drivers.""",5/17/2022,social_media,Yacob Reyes,5/26/2022,https://www.politifact.com/factchecks/2022/may/26/facebook-posts/florida-uses-semitrucks-patrol-vehicles-theyre-mar/,TRUE
285,false,Stephen Miller,"""She was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president.""",3/13/2022,news,Jeff Cercone,3/14/2022,https://www.politifact.com/factchecks/2022/mar/14/stephen-miller/no-kamala-harris-didnt-defer-polish-president-gas-/,FALSE
286,half-true,Jake LaTurner,"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""",2/25/2022,advertisement,Tom Kertscher,2/28/2022,https://www.politifact.com/factchecks/2022/feb/28/jake-laturner/keystone-wouldnt-simply-offset-oil-us-imports-russ/,FALSE
287,mostly-true,Liz Mathis,"""Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible. Once again she’s taking credit for work she didn’t do.""",1/21/2022,social_media,Lauren White,1/21/2022,https://www.politifact.com/factchecks/2022/jan/21/liz-mathis/hinson-joined-letter-iowa-lock-and-dam-money-she-d/,FALSE
289,mostly-true,Iowa House Democrats,"""According to Republican Rep. Jeff Shipley, teachers should not receive a pay raise if they teach American history that Republicans don’t agree with.""",2/10/2022,social_media,Meg Doster,3/1/2022,https://www.politifact.com/factchecks/2022/mar/02/iowa-house-democrats/jeff-shipley-says-teachers-should-not-get-raises-i/,FALSE
291,half-true,Facebook posts,"""JUST IN: The Vatican has invited Chelsea Clinton, Dr. Fauci, New Age figure Deepak Chopra and the CEOs of Moderna and Pfizer to speak at a May conference focusing on 'health' and the 'soul.'""",3/27/2022,blog,Monique Curet,3/29/2022,https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/vatican-conference-was-held-2021-not-upcoming/,FALSE
294,true,Robert Ortt,"""With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.""",1/22/2022,news,Meghan Hall,3/9/2022,https://www.politifact.com/factchecks/2022/mar/09/robert-ortt/did-ny-state-park-attendance-set-record-during-pan/,TRUE
297,true,Tony Evers,"""Wisconsin's archaic abortion ban is older than 20 states.""",6/13/2022,campaign,Laura Schulte,6/22/2022,https://www.politifact.com/factchecks/2022/jun/22/tony-evers/yes-wisconsins-abortion-law-older-20-us-states/,TRUE
299,mostly-false,Nancy Pelosi,"""When unemployment goes down, inflation goes up.""",5/15/2022,news,Louis Jacobson,5/17/2022,https://www.politifact.com/factchecks/2022/may/17/nancy-pelosi/nancy-pelosi-repeats-outdated-economic-theory-link/,FALSE
302,half-true,Jamaal Bowman,"""More white legacy students get admitted to top universities than Black & Latinx students admitted through affirmative action.""",1/26/2022,social_media,Elizabeth Egan,3/7/2022,https://www.politifact.com/factchecks/2022/mar/07/jamaal-bowman/fact-checking-rep-jamaal-bowman-legacy-admissions-/,TRUE
305,false,Facebook posts,"El atacante en Uvalde, Texas estaba en Estados Unidos ilegalmente.",5/24/2022,social_media,Monique Curet,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/facebook-posts/el-autor-del-tiroteo-en-una-escuela-en-texas-no-er/,FALSE
306,mostly-true,Dave McCormick,"Mehmet Oz ""called for a New Zealand-style gun ban"" and said ""Americans should have less access to guns.""",4/4/2022,advertisement,Tom Kertscher,4/15/2022,https://www.politifact.com/factchecks/2022/apr/15/dave-mccormick/n-pa-senate-run-dr-oz-casts-self-pro-second-amendm/,FALSE
308,half-true,Facebook posts,"""U.S. Orders MILLIONS Of Smallpox Vaccines Amid Global Monkeypox Outbreak.""",5/21/2022,social_media,Ciara O'Rourke,6/8/2022,https://www.politifact.com/factchecks/2022/jun/08/facebook-posts/recent-us-smallpox-vaccine-order-unrelated-monkeyp/,TRUE
313,mostly-true,Don Beyer,"""... Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’""",5/2/2022,social_media,Warren Fiske,5/5/2022,https://www.politifact.com/factchecks/2022/may/05/don-beyer/yes-trump-justices-said-roe-v-wade-was-precedent-c/,TRUE
317,mostly-false,Sean Spicer,"The Biden administration ""is spending $30 million on crack pipes.""",2/8/2022,social_media,Louis Jacobson,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/sean-spicer/no-white-house-isnt-spending-30-million-crack-pipe/,FALSE
319,half-true,Glenn Youngkin,"Virginia is ""one of only a handful of states that actually taxes our veterans’ retirement.""",2/17/2022,speech,Warren Fiske,2/23/2022,https://www.politifact.com/factchecks/2022/feb/23/glenn-youngkin/contrary-youngkin-more-handful-states-tax-military/,TRUE
321,false,Facebook posts,"""Large, peer-reviewed research study proves ivermectin works"" as a COVID-19 preventative.",1/20/2022,news,Jeff Cercone,1/28/2022,https://www.politifact.com/factchecks/2022/jan/28/facebook-posts/study-brazil-ivermectin-covid-19-prevention-flawed/,FALSE
322,false,Andy Biggs,"The U.S. Justice Department ""conservatively estimated that guns are used 1.5 million times per year to save lives.""",6/2/2022,statement,Jon Greenberg,6/6/2022,https://www.politifact.com/factchecks/2022/jun/06/andy-biggs/no-government-data-does-not-say-defensive-gun-use-/,FALSE
328,true,Kathy Hochul,"Since taking office, Hochul has passed more than 400 new bills",4/19/2022,campaign,Jill Terreri Ramos,4/30/2022,https://www.politifact.com/factchecks/2022/apr/30/kathy-hochul/new-york-state-so-many-bills/,FALSE
331,false,Viral image,"""Soldiers destroyed Russian tank with NLAW in ambush.""",5/18/2022,social_media,Ciara O'Rourke,5/19/2022,https://www.politifact.com/factchecks/2022/may/19/viral-image/footage-soldiers-destroying-russian-tank-isnt-real/,FALSE
334,mostly-false,Don Huffines,"""Under Greg Abbott’s leadership, Texas is putting taxpayer dollars into Chinese companies.""",2/12/2022,advertisement,Tom Kertscher,2/24/2022,https://www.politifact.com/factchecks/2022/feb/24/don-huffines/primary-texas-governor-misleading-claim-about-greg/,FALSE
337,mostly-true,Joe Biden,"The oil industry has ""9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.""",3/8/2022,speech,Yacob Reyes,3/9/2022,https://www.politifact.com/factchecks/2022/mar/09/joe-biden/fact-checking-bidens-claim-there-are-9000-unused-o/,TRUE
341,mostly-false,Instagram posts,"Map shows states where ""all of the children… are back to living mask-free, normal lives.""",2/14/2022,blog,Monique Curet,2/16/2022,https://www.politifact.com/factchecks/2022/feb/16/instagram-posts/absence-statewide-school-mask-mandates-does-not-me/,FALSE
343,half-true,Lindsey Graham,"""We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.""",5/8/2022,news,Jon Greenberg,5/13/2022,https://www.politifact.com/factchecks/2022/may/13/lindsey-graham/fact-checking-lindsey-graham-us-allowing-abortions/,FALSE
345,mostly-false,Ron Johnson,"Gas prices are high ""due to the Democrats’ war on fossil fuels.""",3/18/2022,social_media,Laura Schulte,3/29/2022,https://www.politifact.com/factchecks/2022/mar/29/ron-johnson/no-democrats-arent-responsible-rising-gas-prices/,FALSE
346,false,Facebook posts,"""All communications to families from the US Navy have been halted.""",1/21/2022,social_media,Gabrielle Settles,1/25/2022,https://www.politifact.com/factchecks/2022/jan/25/facebook-posts/claim-us-navy-halted-all-communication-between-sai/,FALSE
347,half-true,Facebook posts,"""Amy Coney Barrett overturned a $6.7M verdict after a prison guard repeatedly raped a 19-year-old inmate who was 8 months pregnant.""",3/24/2022,social_media,Jeff Cercone,3/29/2022,https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/barrett-was-one-three-judges-ruling-wisconsin-coun/,FALSE
350,half-true,Mandela Barnes,"U.S. Sen. Ron Johnson, his prospective opponent, has received $1.2 million from the gun lobby.",5/27/2022,news,Laura Schulte,6/28/2022,https://www.politifact.com/factchecks/2022/jun/28/mandela-barnes/barnes-partially-right-claim-johnson-has-received-/,TRUE
351,true,Melissa Agard,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",4/11/2022,social_media,D.L. Davis,4/29/2022,https://www.politifact.com/factchecks/2022/apr/29/melissa-agard/yes-its-true-cannabis-reform-supported-wisconsin-i/,TRUE
352,mostly-false,Kayleigh McEnany,"""President Trump sanctioned Russia. President Biden gave them a pipeline.""",2/8/2022,social_media,Louis Jacobson,2/9/2022,https://www.politifact.com/factchecks/2022/feb/09/kayleigh-mcenany/kayleigh-mcenany-spins-comparison-trump-biden-russ/,TRUE
354,half-true,Mike Gibbons,"""J.D. Vance called for higher taxes.""",4/12/2022,advertisement,Tom Kertscher,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/mike-gibbons/senate-race-jd-vances-call-higher-taxes-only-certa/,FALSE
355,true,Nikki Fried,"Florida is ""49th in the nation when it comes to (Medicaid) funding"" for people with disabilities.",2/21/2022,speech,Yacob Reyes,3/14/2022,https://www.politifact.com/factchecks/2022/mar/14/nikki-fried/fact-checking-nikki-frieds-claim-about-floridas-me/,TRUE
356,false,Barbara Gaskins,"""The N.C. GOP came out in support of Sen. [Rick] Scott's extremist policy to ‘Rescue America.’""",5/24/2022,social_media,Paul Specht,6/7/2022,https://www.politifact.com/factchecks/2022/jun/07/barbara-gaskins/nc-democrat-falsely-says-state-gop-supports-contro/,FALSE
357,mostly-true,National Republican Senatorial Committee,"Cheri Beasley voted to reverse the conviction of an armed kidnapper, release a double murderer early.",6/14/2022,advertisement,Paul Specht,7/7/2022,https://www.politifact.com/factchecks/2022/jul/07/national-republican-senatorial-committee/checking-beasley-votes-armed-kidnapper-and-double-/,FALSE
