Unnamed: 0,claim,label,results
0,The US bought 90% of Remdesivir stocks,TRUE,FALSE
1,Writer Dean Koontz predicted the appearance of the coronavirus in his book in 1981 and called it Wuhan-400,partly true/misleading,FALSE
5,Nigeria has the highest number of out-of-school girls in the world.,mostly true,FALSE
8,"...According to scientific statistics, overall, each addict draws an average of 5 to 17 people into drug use ...",partly true/misleading,FALSE
11,"On public transport, you have to be careful not to prick yourself with syringes from drug addicts. In Veenendaal, a syringe was found in a bus.",FALSE,True
12,Population increase is directly linked with socio-economic development,mostly false,FALSE
15,Man with three wives gets three apartments in Sweden,partly true/misleading,FALSE
16,Cutting unemployment benefits will not get people into work.,partly true/misleading,FALSE
19,Allegations about the UK Parliament's decision on Nagorno-Karabakh,FALSE,FALSE
22,Civil and political rights are defended,FALSE,True
23,Nigeria has not taken on external debt since 2013,FALSE,FALSE
27,Tsereteli to build 193-meter monument to Nazarbayev,FALSE,True
28,Good news about the coronavirus,partly true/misleading,FALSE
31,Kazakhstan government banned free purchase of currency,partly true/misleading,FALSE
35,"Foreigners cannot invest in banking, real estate or retail in Ethiopia.",mostly true,FALSE
38,Zoom's increasing errors may pose a threat to Kazakhstan,partly true/misleading,FALSE
40,Nearly three-quarters of young men do not want a woman as boss.,FALSE,FALSE
42,"In 2015, at the time of the first conference in Abidjan, Africa's GDP had been growing at nearly 5% for the past 15 years.",mostly true,FALSE
43,"In many countries (UK, Germany, Italy, Netherlands) there is a system of distributing light drugs in special places",FALSE,FALSE
44,Electronic monitoring is a punishment that works.,TRUE,FALSE
45,Opposition to the EEA Agreement has never been greater.,FALSE,FALSE
46,The number of reports of violence (...) has increased by 16.4 percent since 2015.,FALSE,FALSE
47,"90% of the country's mayors earn less than 300,000 CFA francs.",partly true/misleading,FALSE
54,The rate of increase of real employment increases inflation by two to three times,FALSE,FALSE
58,WHO has declared a COVID-19 coronavirus pandemic,TRUE,True
60,"More than 700,000 people are out of work due to health problems.",FALSE,FALSE
61,"Introduced a program of mental diagnosis and ""treatment"" of children in kindergartens and schools. (This may lead to mass psychiatric diagnoses of children).",FALSE,FALSE
62,"Covid-19 can be cured with hydroxychloroquine, zinc and azithromycin.",FALSE,FALSE
64,Sweden has run out of garbage,FALSE,FALSE
66,"Sumac helps to cure coronavirus. If you drink water mixed with a small amount of sumac, with the permission of Allah, a person who is sick will be cured",FALSE,FALSE
72,"Two years later, Ap has reversed its decision to strip foreign fighters of their citizenship.",FALSE,FALSE
74,Xi Jinping visited a mosque and sought blessings/forgiveness from Muslims,FALSE,FALSE
77,No one established as many new government jobs outside Oslo as the Bondevik 2 government.,TRUE,FALSE
80,Two cases of coronavirus have been confirmed in Kazakhstan (Almaty),TRUE,FALSE
84,Nobel Prize-winning Japanese professor Tasuku Honjo has claimed the coronavirus is artificially created in China,FALSE,FALSE
85,"German doctors have discovered that COVID-19 is NOT a VIRUS, but a death-causing BACTERIA",partly true/misleading,FALSE
86,"These childhood diseases (measles, rubella, mumps, pertussis - ed.) are followed by lifelong immunity",partly true/misleading,FALSE
91,"The Solberg government has deported almost 30,000 illegal immigrants",TRUE,FALSE
92,"During a coronavirus test, people have the membrane between their nose and brain torn apart",FALSE,FALSE
98,You are thousands of times more likely to die after being immunized than you are to die from measles,FALSE,FALSE
99,Wifi radiation is very harmful to health and to unborn children.,FALSE,FALSE
102,Nigeria spends 7 times less on healthcare per capita than South Africa.,FALSE,FALSE
103,"The law on ""free assembly"" creates the opportunity for sui-assistive activities",TRUE,FALSE
104,Life-threatening and skin-destroying insect emerged in the Netherlands.,FALSE,FALSE
105,"Immigrants receive NOK 231,000 more in disability benefits in the national budget.",FALSE,FALSE
106,"The subject ""Abaeology"" is being introduced at the University of Rennes in France",partly true/misleading,FALSE
116,Even Bill Gates said 700k people would initially die from the vaccine,FALSE,FALSE
122,Transparency: Delegation of secrecy and information to the public on parliamentary regulation and dialogue,FALSE,FALSE
123,"If a patient is on a ventilator for more than six days, their chances of returning to life without a ventilator are close to zero. 88 percent die. Because ventilation doesn't help you breathe, it doesn't provide oxygen to the body",partly true/misleading,FALSE
125,Bill Gates is being held up as the creator of the coronavirus,FALSE,FALSE
128,"In November 2016, the largest naval force since 1990 sailed",partly true/misleading,FALSE
129,"""In the forecasts, the Senegalese population is multiplied by two every 25 years"".",mostly true,FALSE
130,Between 20 and 40 tons of various narcotic substances are seized annually in Kazakhstan.,TRUE,FALSE
131,An eight-year-old girl died in Yemen on her wedding night from internal injuries after having sex with her 40-year-old husband.,partly true/misleading,True
132,Criminals put a plastic bottle on your car tire as a distraction to rob you or steal your car.,FALSE,FALSE
133,WHO recognized that asymptomatic carriers are not infectious and essentially devalued quarantine,partly true/misleading,FALSE
134,Ban on Star of David in Strand municipality.,FALSE,FALSE
140,"Bird deaths are caused by 4G, 3G, 2G and radars",FALSE,FALSE
144,WHO head dances in a nightclub,FALSE,FALSE
147,"From 2014 to 2016, Norwegian farmers increased their income per FTE by 20 percent",TRUE,FALSE
155,"The Norwegian Medicines Agency warns against narcotic drugs disguised as candy, a new trend that seems to be spreading in Norway.",FALSE,FALSE
158,The production emissions for an average diesel car are the same as for an electric car.,FALSE,FALSE
162,Macky Sall had announced the acquisition of 195 medical ambulances in 2017.,FALSE,FALSE
163,"760,000 people could be unemployed",mostly false,FALSE
166,"Because measles is highly contagious, collective immunity for it does not work despite very high vaccination coverage",FALSE,FALSE
167,"Study shows that dogs can recognize ""bad"" people",partly true/misleading,FALSE
168,Only the Progress Party has clearly distanced itself from people who recognize stoning as a tool.,FALSE,FALSE
169,The solution is quite simple,FALSE,FALSE
170,Some elderly people in Oslo have complained about home helpers wearing hijabs.,partly true/misleading,FALSE
175,Dutch live unhealthier lives due to overwork,TRUE,FALSE
177,German commission - coronavirus is a global false alarm,FALSE,FALSE
184,Italians are embracing Islam en masse,FALSE,FALSE
186,The prime minister's husband makes money from toll stations.,FALSE,FALSE
188,MDG wants to replace disabled people's private cars with buses.,FALSE,FALSE
189,"The balance of trade is in deficit by 2,000 billion FCFA, with 3,500 billion FCFA in imports compared with 1,500 billion FCFA in exports.",partly true/misleading,FALSE
192,Badger fat helps with pneumonia.,FALSE,FALSE
194,The digital sector generates 8% of C繝ｻ繝ｻ・ｽ・ｴte d'Ivoire's GDP and 13% of the country's tax revenues.,mostly true,FALSE
201,Persons who violate the quarantine are fined and prosecuted,TRUE,True
202,Chinese premier prays in a mosque,FALSE,FALSE
207,Aisultan Nazarbayev accused of assaulting a policeman,TRUE,FALSE
210,The dependence of the Azerbaijani economy on oil prices has sharply decreased,mostly false,FALSE
218,"Even with the official rate of price growth, only for 7 months households incurred additional costs for products 225 billion tenge",mostly true,FALSE
219,The Labor Party has introduced and increased property taxes in a large number of municipalities during this period.,partly true/misleading,FALSE
224,Feminitives in Russian should be formed with the affix -k,partly true/misleading,FALSE
225,YouTube asked the producers of Redbad through a letter to remove the trailer due to offensive content for large populations.,FALSE,True
229,HPV vaccination causes infertility,FALSE,FALSE
230,"April elections were held in accordance with democratic, transparent and international standards",FALSE,True
232,"The fact that epidemiologists did not believe in the seasonality of coronavirus led to incorrect models and predictions. When initial worst-case scenarios have nowhere to go, some still cling to models predicting a second wave.",FALSE,FALSE
233,"Huge state investments are planned to be spent on the construction of wholesale and distribution centers. However, the effect will not be swift and raises questions, as it is planned to put them into operation by the end of 2022",partly true/misleading,FALSE
237,Switzerland's new journalism medium Republik has broken the world record for media crowdfunding.,partly true/misleading,FALSE
238,"Tesla cars are 'big, heavy cars that struggle on the road'",FALSE,FALSE
240,Two Chinese doctors who fell ill with coronavirus have changed complexion,TRUE,FALSE
241,"Measles virus can be found in the blood, urine and respiratory tract of a vaccinated child for many days after vaccination",partly true/misleading,FALSE
245,Antibiotics cure coronavirus.,FALSE,FALSE
261,Four Ukrainian servicemen died after being injected with U.S. coronavirus vaccine,FALSE,FALSE
264,Mondelez has made changes to the ingredients and production of Toblerone to achieve halal certification.,FALSE,FALSE
265,A law on the import and production of plastic bags came into force in Senegal in January 2016.,FALSE,FALSE
273,It makes sense to take extra vitamin D in the winter.,partly true/misleading,True
275,All three of them were created for each other,FALSE,FALSE
281,Children conceived at different times but from eggs fertilized in the same test tube treatment with the same sperm donor are considered twins,FALSE,FALSE
285,Nearly 900 abducted children have been lifted from tunnels in Melbourne,FALSE,FALSE
291,Kazakhstan has abolished the death penalty,mostly true,FALSE
296,The return on capital invested in kindergartens is now three times greater than the Oslo Stock Exchange.,partly true/misleading,FALSE
